graph_id,n,h,beta,exact_E
n16_graph0,16,0.0,0.1,-2.432097881
n16_graph0,16,0.0,0.2,-4.956033123
n16_graph0,16,0.0,0.3,-7.67084955
n16_graph0,16,0.0,0.5,-14.37255973
n16_graph0,16,0.0,0.8,-22.40074347
n16_graph0,16,0.0,1.0,-23.61372312
n16_graph0,16,0.0,1.3,-23.94824268
n16_graph0,16,0.0,1.8,-23.99776328
n16_graph0,16,0.0,2.5,-23.99996826
n16_graph0,16,0.0,5.0,-24
n16_graph0,16,0.1,0.1,-2.457741243
n16_graph0,16,0.1,0.2,-5.042840134
n16_graph0,16,0.1,0.3,-7.904716037
n16_graph0,16,0.1,0.5,-15.4886984
n16_graph0,16,0.1,0.8,-24.04671173
n16_graph0,16,0.1,1.0,-25.17250666
n16_graph0,16,0.1,1.3,-25.51227289
n16_graph0,16,0.1,1.8,-25.58841537
n16_graph0,16,0.1,2.5,-25.59890783
n16_graph0,16,0.1,5.0,-25.59999964
n16_graph0,16,0.2,0.1,-2.534643892
n16_graph0,16,0.2,0.2,-5.302306105
n16_graph0,16,0.2,0.3,-8.591578926
n16_graph0,16,0.2,0.5,-18.07273232
n16_graph0,16,0.2,0.8,-26.18393318
n16_graph0,16,0.2,1.0,-26.96587814
n16_graph0,16,0.2,1.3,-27.17003391
n16_graph0,16,0.2,1.8,-27.19887203
n16_graph0,16,0.2,2.5,-27.19998759
n16_graph0,16,0.2,5.0,-27.2
n16_graph0,16,0.5,0.1,-3.071813751
n16_graph0,16,0.5,0.2,-7.079731155
n16_graph0,16,0.5,0.3,-12.87620226
n16_graph0,16,0.5,0.5,-26.26419297
n16_graph0,16,0.5,0.8,-31.47864864
n16_graph0,16,0.5,1.0,-31.88432777
n16_graph0,16,0.5,1.3,-31.9868427
n16_graph0,16,0.5,1.8,-31.99961779
n16_graph0,16,0.5,2.5,-31.99999718
n16_graph0,16,0.5,5.0,-32
n16_graph0,16,1.0,0.1,-4.974070371
n16_graph0,16,1.0,0.2,-12.93588493
n16_graph0,16,1.0,0.3,-23.73515396
n16_graph0,16,1.0,0.5,-36.88075183
n16_graph0,16,1.0,0.8,-39.76629849
n16_graph0,16,1.0,1.0,-39.95518656
n16_graph0,16,1.0,1.3,-39.99605401
n16_graph0,16,1.0,1.8,-39.99992853
n16_graph0,16,1.0,2.5,-39.99999974
n16_graph0,16,1.0,5.0,-40
n16_graph1,16,0.0,0.1,-2.528709614
n16_graph1,16,0.0,0.2,-5.348945698
n16_graph1,16,0.0,0.3,-8.482575011
n16_graph1,16,0.0,0.5,-15.22711635
n16_graph1,16,0.0,0.8,-21.83822624
n16_graph1,16,0.0,1.0,-23.19139143
n16_graph1,16,0.0,1.3,-23.75465273
n16_graph1,16,0.0,1.8,-23.93798415
n16_graph1,16,0.0,2.5,-23.98621015
n16_graph1,16,0.0,5.0,-23.99990919
n16_graph1,16,0.1,0.1,-2.554270795
n16_graph1,16,0.1,0.2,-5.433321967
n16_graph1,16,0.1,0.3,-8.694515593
n16_graph1,16,0.1,0.5,-16.06369134
n16_graph1,16,0.1,0.8,-23.45473802
n16_graph1,16,0.1,1.0,-24.8570062
n16_graph1,16,0.1,1.3,-25.41210834
n16_graph1,16,0.1,1.8,-25.5711626
n16_graph1,16,0.1,2.5,-25.59708959
