graph_id,n,h,beta,method,log_Z,runtime_s
n16_graph0,16,0.0,0.1,exact,11.211396,1.4232
n16_graph0,16,0.0,0.1,js_fpras,11.166237,8.1822
n16_graph0,16,0.0,0.2,exact,11.579760,0.5864
n16_graph0,16,0.0,0.2,js_fpras,11.682874,6.5288
n16_graph0,16,0.0,0.3,exact,12.208845,0.5159
n16_graph0,16,0.0,0.3,js_fpras,12.117968,5.5969
n16_graph0,16,0.0,0.5,exact,14.380214,0.4061
n16_graph0,16,0.0,0.5,js_fpras,14.314896,5.7952
n16_graph0,16,0.0,0.8,exact,20.120869,0.4017
n16_graph0,16,0.0,0.8,js_fpras,19.729649,5.3586
n16_graph0,16,0.0,1.0,exact,24.750655,0.5178
n16_graph0,16,0.0,1.0,js_fpras,24.828444,3.5209
n16_graph0,16,0.0,1.3,exact,31.901299,0.3338
n16_graph0,16,0.0,1.3,js_fpras,31.759054,5.0625
n16_graph0,16,0.0,1.8,exact,43.893513,0.4193
n16_graph0,16,0.0,1.8,js_fpras,44.152435,5.5103
n16_graph0,16,0.0,2.5,exact,60.693152,0.4539
n16_graph0,16,0.0,2.5,js_fpras,60.382346,9.7509
n16_graph0,16,0.0,5.0,exact,120.693147,0.8536
n16_graph0,16,0.0,5.0,js_fpras,120.846583,8.3168
n16_graph0,16,0.1,0.1,exact,11.212495,0.7363
n16_graph0,16,0.1,0.1,js_fpras,11.215334,8.7875
n16_graph0,16,0.1,0.2,exact,11.586041,0.9330
n16_graph0,16,0.1,0.2,js_fpras,11.777428,7.3371
n16_graph0,16,0.1,0.3,exact,12.230102,0.6357
n16_graph0,16,0.1,0.3,js_fpras,12.258241,7.2178
n16_graph0,16,0.1,0.5,exact,14.522358,0.5835
n16_graph0,16,0.1,0.5,js_fpras,14.654235,6.3308
n16_graph0,16,0.1,0.8,exact,20.735684,0.5010
n16_graph0,16,0.1,0.8,js_fpras,20.704623,7.5870
n16_graph0,16,0.1,1.0,exact,25.683807,0.4676
n16_graph0,16,0.1,1.0,js_fpras,25.703030,6.2145
n16_graph0,16,0.1,1.3,exact,33.301405,0.4379
n16_graph0,16,0.1,1.3,js_fpras,33.335229,4.5423
n16_graph0,16,0.1,1.8,exact,46.083390,0.3812
n16_graph0,16,0.1,1.8,js_fpras,46.132991,4.5578
n16_graph0,16,0.1,2.5,exact,64.000338,0.5200
n16_graph0,16,0.1,2.5,js_fpras,64.081086,4.6317
n16_graph0,16,0.1,5.0,exact,128.000000,0.6042
n16_graph0,16,0.1,5.0,js_fpras,127.971902,3.0745
n16_graph0,16,0.2,0.1,exact,11.215788,0.4514
n16_graph0,16,0.2,0.1,js_fpras,11.201984,5.0282
n16_graph0,16,0.2,0.2,exact,11.604856,0.4510
n16_graph0,16,0.2,0.2,js_fpras,11.647459,6.0614
n16_graph0,16,0.2,0.3,exact,12.293323,0.6220
n16_graph0,16,0.2,0.3,js_fpras,12.275079,6.0303
n16_graph0,16,0.2,0.5,exact,14.902829,0.5033
n16_graph0,16,0.2,0.5,js_fpras,14.903430,5.9122
n16_graph0,16,0.2,0.8,exact,21.899658,0.3860
n16_graph0,16,0.2,0.8,js_fpras,22.016300,5.1089
n16_graph0,16,0.2,1.0,exact,27.234048,0.4195
