graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,0.1,1,11.490355
n16_graph0,16,0.0,ground,glauber,0.1,2,11.490355
n16_graph0,16,0.0,ground,glauber,0.1,4,11.490355
n16_graph0,16,0.0,ground,glauber,0.1,7,11.496072
n16_graph0,16,0.0,ground,glauber,0.1,12,11.484660
n16_graph0,16,0.0,ground,glauber,0.1,20,11.238331
n16_graph0,16,0.0,ground,glauber,0.1,33,11.132191
n16_graph0,16,0.0,ground,glauber,0.1,54,11.128233
n16_graph0,16,0.0,ground,glauber,0.1,90,11.318294
n16_graph0,16,0.0,ground,glauber,0.1,148,11.220385
n16_graph0,16,0.0,ground,glauber,0.1,245,11.190121
n16_graph0,16,0.0,ground,glauber,0.1,404,11.149561
n16_graph0,16,0.0,ground,glauber,0.1,667,11.153105
n16_graph0,16,0.0,ground,glauber,0.1,1101,11.183023
n16_graph0,16,0.0,ground,glauber,0.1,1816,11.160870
n16_graph0,16,0.0,ground,glauber,0.1,2995,11.208226
n16_graph0,16,0.0,ground,glauber,0.1,4939,11.190431
n16_graph0,16,0.0,ground,glauber,0.1,8146,11.195724
n16_graph0,16,0.0,ground,glauber,0.1,13435,11.196923
n16_graph0,16,0.0,ground,glauber,0.1,22158,11.200528
n16_graph0,16,0.0,ground,glauber,0.1,36543,11.202561
n16_graph0,16,0.0,ground,glauber,0.1,60268,11.205417
n16_graph0,16,0.0,ground,glauber,0.1,99395,11.209693
n16_graph0,16,0.0,ground,glauber,0.1,163925,11.208492
n16_graph0,16,0.0,ground,glauber,0.1,270347,11.207373
n16_graph0,16,0.0,ground,glauber,0.1,445860,11.211711
n16_graph0,16,0.0,ground,glauber,0.1,735319,11.210205
n16_graph0,16,0.0,ground,glauber,0.1,1212699,11.212388
n16_graph0,16,0.0,ground,glauber,0.1,2000000,11.212514
n16_graph0,16,0.0,ground,glauber,0.2,1,11.490355
n16_graph0,16,0.0,ground,glauber,0.2,2,11.490355
n16_graph0,16,0.0,ground,glauber,0.2,4,11.443979
n16_graph0,16,0.0,ground,glauber,0.2,7,11.313126
