graph_id,n,h,beta,K,variant,log_Z
n16_graph0,16,0.0,0.1,3,asym,11.211475
n16_graph0,16,0.0,0.1,3,exact,11.211145
n16_graph0,16,0.0,0.1,4,asym,11.211672
n16_graph0,16,0.0,0.1,4,exact,11.211342
n16_graph0,16,0.0,0.1,5,asym,11.211704
n16_graph0,16,0.0,0.1,5,exact,11.211392
n16_graph0,16,0.0,0.1,6,asym,11.211709
n16_graph0,16,0.0,0.1,6,exact,11.211397
n16_graph0,16,0.0,0.2,3,asym,11.577402
n16_graph0,16,0.0,0.2,3,exact,11.574848
n16_graph0,16,0.0,0.2,4,asym,11.580435
n16_graph0,16,0.0,0.2,4,exact,11.577881
n16_graph0,16,0.0,0.2,5,asym,11.581393
n16_graph0,16,0.0,0.2,5,exact,11.579379
n16_graph0,16,0.0,0.2,6,asym,11.581708
n16_graph0,16,0.0,0.2,6,exact,11.579694
n16_graph0,16,0.0,0.3,3,asym,12.187095
n16_graph0,16,0.0,0.3,3,exact,12.178954
n16_graph0,16,0.0,0.3,4,asym,12.201447
n16_graph0,16,0.0,0.3,4,exact,12.193306
n16_graph0,16,0.0,0.3,5,asym,12.208153
n16_graph0,16,0.0,0.3,5,exact,12.203785
n16_graph0,16,0.0,0.3,6,asym,12.211412
n16_graph0,16,0.0,0.3,6,exact,12.207044
n16_graph0,16,0.0,0.5,3,asym,14.098590
n16_graph0,16,0.0,0.5,3,exact,14.067218
n16_graph0,16,0.0,0.5,4,asym,14.187780
n16_graph0,16,0.0,0.5,4,exact,14.156409
n16_graph0,16,0.0,0.5,5,asym,14.254518
n16_graph0,16,0.0,0.5,5,exact,14.260687
n16_graph0,16,0.0,0.5,6,asym,14.306208
n16_graph0,16,0.0,0.5,6,exact,14.312377
n16_graph0,16,0.0,0.8,3,asym,18.410858
n16_graph0,16,0.0,0.8,3,exact,18.325254
n16_graph0,16,0.0,0.8,4,asym,18.766200
n16_graph0,16,0.0,0.8,4,exact,18.680596
n16_graph0,16,0.0,0.8,5,asym,19.154776
n16_graph0,16,0.0,0.8,5,exact,19.287745
n16_graph0,16,0.0,0.8,6,asym,19.593475
n16_graph0,16,0.0,0.8,6,exact,19.726445
n16_graph0,16,0.0,1,3,asym,21.988900
n16_graph0,16,0.0,1,3,exact,21.866948
n16_graph0,16,0.0,1,4,asym,22.568903
n16_graph0,16,0.0,1,4,exact,22.446952
n16_graph0,16,0.0,1,5,asym,23.298854
n16_graph0,16,0.0,1,5,exact,23.587500
n16_graph0,16,0.0,1,6,asym,24.249582
n16_graph0,16,0.0,1,6,exact,24.538228
n16_graph0,16,0.0,1.3,3,asym,28.033798
n16_graph0,16,0.0,1.3,3,exact,27.868923
n16_graph0,16,0.0,1.3,4,asym,28.912121
n16_graph0,16,0.0,1.3,4,exact,28.747245
n16_graph0,16,0.0,1.3,5,asym,30.156171
n16_graph0,16,0.0,1.3,5,exact,30.691073
n16_graph0,16,0.0,1.3,6,asym,31.986589
n16_graph0,16,0.0,1.3,6,exact,32.521491
n16_graph0,16,0.0,1.8,3,asym,39.121144
n16_graph0,16,0.0,1.8,3,exact,38.916306
n16_graph0,16,0.0,1.8,4,asym,40.300721
n16_graph0,16,0.0,1.8,4,exact,40.095884
n16_graph0,16,0.0,1.8,5,asym,42.111290
n16_graph0,16,0.0,1.8,5,exact,42.924897
n16_graph0,16,0.0,1.8,6,asym,45.004887
n16_graph0,16,0.0,1.8,6,exact,45.818494
n16_graph0,16,0.0,2.5,3,asym,55.513507
n16_graph0,16,0.0,2.5,3,exact,55.289128
n16_graph0,16,0.0,2.5,4,asym,56.846624
n16_graph0,16,0.0,2.5,4,exact,56.622245
n16_graph0,16,0.0,2.5,5,asym,58.958702
n16_graph0,16,0.0,2.5,5,exact,59.922366
n16_graph0,16,0.0,2.5,6,asym,62.444226
n16_graph0,16,0.0,2.5,6,exact,63.407891
n16_graph0,16,0.0,5,3,asym,115.379927
n16_graph0,16,0.0,5,3,exact,115.148923
n16_graph0,16,0.0,5,4,asym,116.765858
n16_graph0,16,0.0,5,4,exact,116.534854
n16_graph0,16,0.0,5,5,asym,118.983203
n16_graph0,16,0.0,5,5,exact,119.999455
n16_graph0,16,0.0,5,6,asym,122.678535
n16_graph0,16,0.0,5,6,exact,123.694788
n16_graph1,16,0.0,0.1,3,asym,11.211475
n16_graph1,16,0.0,0.1,3,exact,11.214114
n16_graph1,16,0.0,0.1,4,asym,11.211672
n16_graph1,16,0.0,0.1,4,exact,11.214508
n16_graph1,16,0.0,0.1,5,asym,11.211704
n16_graph1,16,0.0,0.1,5,exact,11.214567
n16_graph1,16,0.0,0.1,6,asym,11.211709
n16_graph1,16,0.0,0.1,6,exact,11.214573
n16_graph1,16,0.0,0.2,3,asym,11.577402
n16_graph1,16,0.0,0.2,3,exact,11.597828
n16_graph1,16,0.0,0.2,4,asym,11.580435
n16_graph1,16,0.0,0.2,4,exact,11.603894
n16_graph1,16,0.0,0.2,5,asym,11.581393
n16_graph1,16,0.0,0.2,5,exact,11.605691
n16_graph1,16,0.0,0.2,6,asym,11.581708
n16_graph1,16,0.0,0.2,6,exact,11.606006
n16_graph1,16,0.0,0.3,3,asym,12.187095
n16_graph1,16,0.0,0.3,3,exact,12.252218
n16_graph1,16,0.0,0.3,4,asym,12.201447
n16_graph1,16,0.0,0.3,4,exact,12.280921
n16_graph1,16,0.0,0.3,5,asym,12.208153
n16_graph1,16,0.0,0.3,5,exact,12.293496
n16_graph1,16,0.0,0.3,6,asym,12.211412
n16_graph1,16,0.0,0.3,6,exact,12.296754
n16_graph1,16,0.0,0.5,3,asym,14.098590
n16_graph1,16,0.0,0.5,3,exact,14.349563
n16_graph1,16,0.0,0.5,4,asym,14.187780
n16_graph1,16,0.0,0.5,4,exact,14.527944
n16_graph1,16,0.0,0.5,5,asym,14.254518
n16_graph1,16,0.0,0.5,5,exact,14.653078
n16_graph1,16,0.0,0.5,6,asym,14.306208
n16_graph1,16,0.0,0.5,6,exact,14.704768
n16_graph1,16,0.0,0.8,3,asym,18.410858
n16_graph1,16,0.0,0.8,3,exact,19.095693
n16_graph1,16,0.0,0.8,4,asym,18.766200
n16_graph1,16,0.0,0.8,4,exact,19.806377
n16_graph1,16,0.0,0.8,5,asym,19.154776
n16_graph1,16,0.0,0.8,5,exact,20.534957
n16_graph1,16,0.0,0.8,6,asym,19.593475
n16_graph1,16,0.0,0.8,6,exact,20.973656
n16_graph1,16,0.0,1,3,asym,21.988900
n16_graph1,16,0.0,1,3,exact,22.964509
n16_graph1,16,0.0,1,4,asym,22.568903
n16_graph1,16,0.0,1,4,exact,24.124516
n16_graph1,16,0.0,1,5,asym,23.298854
n16_graph1,16,0.0,1,5,exact,25.493173
