graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.0,0.1,1,100,16,3000,49600,11.841818,1.6385
n16_graph0,16,0.0,0.1,1,300,16,3000,52800,11.427321,2.0363
n16_graph0,16,0.0,0.1,1,1000,16,3000,64000,11.414889,2.2917
n16_graph0,16,0.0,0.1,1,3000,16,3000,96000,10.989796,2.6868
n16_graph0,16,0.0,0.1,1,10000,16,3000,208000,11.224402,6.1305
n16_graph0,16,0.0,0.1,4,100,64,3000,198400,11.401482,4.6253
n16_graph0,16,0.0,0.1,4,300,64,3000,211200,11.101083,4.6059
n16_graph0,16,0.0,0.1,4,1000,64,3000,256000,11.048508,5.2475
n16_graph0,16,0.0,0.1,4,3000,64,3000,384000,11.125098,7.6470
n16_graph0,16,0.0,0.1,4,10000,64,3000,832000,11.130849,19.7034
n16_graph0,16,0.0,0.1,20,100,320,3000,992000,11.099655,30.7024
n16_graph0,16,0.0,0.1,20,300,320,3000,1056000,11.226486,28.1452
n16_graph0,16,0.0,0.1,20,1000,320,3000,1280000,11.190554,25.6509
n16_graph0,16,0.0,0.1,20,3000,320,3000,1920000,11.249131,48.7935
n16_graph0,16,0.0,0.1,20,10000,320,3000,4160000,11.179515,101.2797
n16_graph0,16,0.0,0.2,1,100,16,3000,49600,11.092872,1.3688
n16_graph0,16,0.0,0.2,1,300,16,3000,52800,11.335613,1.3860
n16_graph0,16,0.0,0.2,1,1000,16,3000,64000,11.431607,1.6881
n16_graph0,16,0.0,0.2,1,3000,16,3000,96000,11.877147,2.5074
n16_graph0,16,0.0,0.2,1,10000,16,3000,208000,11.536728,5.6105
n16_graph0,16,0.0,0.2,4,100,64,3000,198400,11.104639,5.2958
n16_graph0,16,0.0,0.2,4,300,64,3000,211200,11.798170,6.6960
n16_graph0,16,0.0,0.2,4,1000,64,3000,256000,11.607686,8.5539
n16_graph0,16,0.0,0.2,4,3000,64,3000,384000,11.690244,10.0228
n16_graph0,16,0.0,0.2,4,10000,64,3000,832000,11.610317,20.2579
n16_graph0,16,0.0,0.2,20,100,320,3000,992000,11.688791,16.1473
n16_graph0,16,0.0,0.2,20,300,320,3000,1056000,11.765114,16.5007
n16_graph0,16,0.0,0.2,20,1000,320,3000,1280000,11.637851,15.8761
n16_graph0,16,0.0,0.2,20,3000,320,3000,1920000,11.595937,40.8534
n16_graph0,16,0.0,0.2,20,10000,320,3000,4160000,11.561346,77.1037
n16_graph0,16,0.0,0.3,1,100,16,3000,49600,11.718637,0.5960
n16_graph0,16,0.0,0.3,1,300,16,3000,52800,11.799527,0.7573
n16_graph0,16,0.0,0.3,1,1000,16,3000,64000,12.166255,0.8483
n16_graph0,16,0.0,0.3,1,3000,16,3000,96000,12.343166,1.4222
n16_graph0,16,0.0,0.3,1,10000,16,3000,208000,12.222155,3.2046
n16_graph0,16,0.0,0.3,4,100,64,3000,198400,12.265896,2.5542
n16_graph0,16,0.0,0.3,4,300,64,3000,211200,12.579901,2.9365
n16_graph0,16,0.0,0.3,4,1000,64,3000,256000,12.568959,3.6062
n16_graph0,16,0.0,0.3,4,3000,64,3000,384000,12.388350,5.5777
n16_graph0,16,0.0,0.3,4,10000,64,3000,832000,12.246757,12.9773
n16_graph0,16,0.0,0.3,20,100,320,3000,992000,12.380612,14.3645
n16_graph0,16,0.0,0.3,20,300,320,3000,1056000,11.989519,14.1949
n16_graph0,16,0.0,0.3,20,1000,320,3000,1280000,12.098986,18.8708
n16_graph0,16,0.0,0.3,20,3000,320,3000,1920000,12.207845,29.0603
n16_graph0,16,0.0,0.3,20,10000,320,3000,4160000,12.265311,67.9769
n16_graph0,16,0.0,0.5,1,100,16,3000,49600,nan,0.6880
n16_graph0,16,0.0,0.5,1,300,16,3000,52800,13.802988,0.7801
n16_graph0,16,0.0,0.5,1,1000,16,3000,64000,15.184831,1.0061
n16_graph0,16,0.0,0.5,1,3000,16,3000,96000,14.189096,1.4491
n16_graph0,16,0.0,0.5,1,10000,16,3000,208000,14.346519,3.2571
n16_graph0,16,0.0,0.5,4,100,64,3000,198400,14.224943,2.8538
n16_graph0,16,0.0,0.5,4,300,64,3000,211200,14.255485,2.9904
n16_graph0,16,0.0,0.5,4,1000,64,3000,256000,14.104255,3.7925
n16_graph0,16,0.0,0.5,4,3000,64,3000,384000,14.053025,7.1635
n16_graph0,16,0.0,0.5,4,10000,64,3000,832000,14.288196,13.6968
n16_graph0,16,0.0,0.5,20,100,320,3000,992000,13.941374,14.3278
n16_graph0,16,0.0,0.5,20,300,320,3000,1056000,13.942136,14.4923
n16_graph0,16,0.0,0.5,20,1000,320,3000,1280000,14.482785,19.8202
n16_graph0,16,0.0,0.5,20,3000,320,3000,1920000,14.176081,30.2778
n16_graph0,16,0.0,0.5,20,10000,320,3000,4160000,14.372889,69.5378
n16_graph0,16,0.0,0.8,1,100,16,3000,49600,21.296242,0.7341
n16_graph0,16,0.0,0.8,1,300,16,3000,52800,19.650587,0.7211
n16_graph0,16,0.0,0.8,1,1000,16,3000,64000,20.325031,0.8669
n16_graph0,16,0.0,0.8,1,3000,16,3000,96000,19.720207,1.4013
n16_graph0,16,0.0,0.8,1,10000,16,3000,208000,20.363193,3.1724
n16_graph0,16,0.0,0.8,4,100,64,3000,198400,19.702144,2.7768
n16_graph0,16,0.0,0.8,4,300,64,3000,211200,19.997550,2.9013
n16_graph0,16,0.0,0.8,4,1000,64,3000,256000,20.190044,3.4936
n16_graph0,16,0.0,0.8,4,3000,64,3000,384000,20.370802,5.4896
n16_graph0,16,0.0,0.8,4,10000,64,3000,832000,20.111512,13.3608
n16_graph0,16,0.0,0.8,20,100,320,3000,992000,20.259018,13.9631
n16_graph0,16,0.0,0.8,20,300,320,3000,1056000,20.167606,14.9581
n16_graph0,16,0.0,0.8,20,1000,320,3000,1280000,20.110638,19.7420
n16_graph0,16,0.0,0.8,20,3000,320,3000,1920000,20.256510,29.2033
n16_graph0,16,0.0,0.8,20,10000,320,3000,4160000,20.153317,77.3768
n16_graph0,16,0.0,1.0,1,100,16,3000,49600,26.218680,0.6506
n16_graph0,16,0.0,1.0,1,300,16,3000,52800,25.470177,0.7154
