graph_id,n,h,beta,init,dynamics,step,log_z_mcmc
n16_graph0,16,0.0,0.1,ground,metropolis,1,12.290355
n16_graph0,16,0.0,0.2,ground,metropolis,1,14.690355
n16_graph0,16,0.0,0.3,ground,metropolis,1,17.090355
n16_graph0,16,0.0,0.5,ground,metropolis,1,21.890355
n16_graph0,16,0.0,0.8,ground,metropolis,1,29.090355
n16_graph0,16,0.0,1.0,ground,metropolis,1,33.890355
n16_graph0,16,0.0,1.3,ground,metropolis,1,41.090355
n16_graph0,16,0.0,1.8,ground,metropolis,1,53.090355
n16_graph0,16,0.0,2.5,ground,metropolis,1,69.890355
n16_graph0,16,0.0,5.0,ground,metropolis,1,129.890355
n16_graph0,16,0.0,0.1,ground,metropolis,2,12.290355
n16_graph0,16,0.0,0.2,ground,metropolis,2,14.690355
n16_graph0,16,0.0,0.3,ground,metropolis,2,17.090355
n16_graph0,16,0.0,0.5,ground,metropolis,2,21.890355
n16_graph0,16,0.0,0.8,ground,metropolis,2,29.090355
n16_graph0,16,0.0,1.0,ground,metropolis,2,33.890355
n16_graph0,16,0.0,1.3,ground,metropolis,2,41.090355
n16_graph0,16,0.0,1.8,ground,metropolis,2,53.090355
n16_graph0,16,0.0,2.5,ground,metropolis,2,69.890355
n16_graph0,16,0.0,5.0,ground,metropolis,2,129.890355
n16_graph0,16,0.0,0.1,ground,metropolis,3,12.190355
n16_graph0,16,0.0,0.2,ground,metropolis,3,14.490355
n16_graph0,16,0.0,0.3,ground,metropolis,3,16.890355
n16_graph0,16,0.0,0.5,ground,metropolis,3,21.490355
n16_graph0,16,0.0,0.8,ground,metropolis,3,28.390355
n16_graph0,16,0.0,1.0,ground,metropolis,3,33.190355
n16_graph0,16,0.0,1.3,ground,metropolis,3,40.390355
n16_graph0,16,0.0,1.8,ground,metropolis,3,52.390355
n16_graph0,16,0.0,2.5,ground,metropolis,3,69.190355
n16_graph0,16,0.0,5.0,ground,metropolis,3,129.190355
n16_graph0,16,0.0,0.1,ground,metropolis,4,12.065355
n16_graph0,16,0.0,0.2,ground,metropolis,4,14.240355
n16_graph0,16,0.0,0.3,ground,metropolis,4,16.565355
n16_graph0,16,0.0,0.5,ground,metropolis,4,20.915355
n16_graph0,16,0.0,0.8,ground,metropolis,4,27.665355
n16_graph0,16,0.0,1.0,ground,metropolis,4,32.465355
n16_graph0,16,0.0,1.3,ground,metropolis,4,39.665355
n16_graph0,16,0.0,1.8,ground,metropolis,4,51.665355
n16_graph0,16,0.0,2.5,ground,metropolis,4,68.465355
n16_graph0,16,0.0,5.0,ground,metropolis,4,128.465355
n16_graph0,16,0.0,0.1,ground,metropolis,5,11.990355
n16_graph0,16,0.0,0.2,ground,metropolis,5,14.090355
n16_graph0,16,0.0,0.3,ground,metropolis,5,16.370355
n16_graph0,16,0.0,0.5,ground,metropolis,5,20.570355
n16_graph0,16,0.0,0.8,ground,metropolis,5,27.230355
n16_graph0,16,0.0,1.0,ground,metropolis,5,32.030355
n16_graph0,16,0.0,1.3,ground,metropolis,5,39.230355
n16_graph0,16,0.0,1.8,ground,metropolis,5,51.230355
n16_graph0,16,0.0,2.5,ground,metropolis,5,68.030355
n16_graph0,16,0.0,5.0,ground,metropolis,5,128.030355
n16_graph0,16,0.0,0.1,ground,metropolis,6,11.923690
n16_graph0,16,0.0,0.2,ground,metropolis,6,13.957025
n16_graph0,16,0.0,0.3,ground,metropolis,6,16.157025
n16_graph0,16,0.0,0.5,ground,metropolis,6,20.157025
n16_graph0,16,0.0,0.8,ground,metropolis,6,26.757025
n16_graph0,16,0.0,1.0,ground,metropolis,6,31.557025
n16_graph0,16,0.0,1.3,ground,metropolis,6,38.757025
n16_graph0,16,0.0,1.8,ground,metropolis,6,50.757025
n16_graph0,16,0.0,2.5,ground,metropolis,6,67.557025
n16_graph0,16,0.0,5.0,ground,metropolis,6,127.557025
n16_graph0,16,0.0,0.1,ground,metropolis,7,11.890355
n16_graph0,16,0.0,0.2,ground,metropolis,7,13.890355
n16_graph0,16,0.0,0.3,ground,metropolis,7,16.076070
n16_graph0,16,0.0,0.5,ground,metropolis,7,20.018930
n16_graph0,16,0.0,0.8,ground,metropolis,7,26.576075
n16_graph0,16,0.0,1.0,ground,metropolis,7,31.376075
n16_graph0,16,0.0,1.3,ground,metropolis,7,38.576075
n16_graph0,16,0.0,1.8,ground,metropolis,7,50.576075
n16_graph0,16,0.0,2.5,ground,metropolis,7,67.376075
n16_graph0,16,0.0,5.0,ground,metropolis,7,127.376075
n16_graph0,16,0.0,0.1,ground,metropolis,8,11.865355
n16_graph0,16,0.0,0.2,ground,metropolis,8,13.840355
n16_graph0,16,0.0,0.3,ground,metropolis,8,15.977855
n16_graph0,16,0.0,0.5,ground,metropolis,8,19.802855
n16_graph0,16,0.0,0.8,ground,metropolis,8,26.327855
n16_graph0,16,0.0,1.0,ground,metropolis,8,31.127855
n16_graph0,16,0.0,1.3,ground,metropolis,8,38.327855
n16_graph0,16,0.0,1.8,ground,metropolis,8,50.327855
n16_graph0,16,0.0,2.5,ground,metropolis,8,67.127855
n16_graph0,16,0.0,5.0,ground,metropolis,8,127.127855
n16_graph0,16,0.0,0.1,ground,metropolis,9,11.812575
n16_graph0,16,0.0,0.2,ground,metropolis,9,13.734795
n16_graph0,16,0.0,0.3,ground,metropolis,9,15.801460
n16_graph0,16,0.0,0.5,ground,metropolis,9,19.468120
n16_graph0,16,0.0,0.8,ground,metropolis,9,25.968115
n16_graph0,16,0.0,1.0,ground,metropolis,9,30.768115
n16_graph0,16,0.0,1.3,ground,metropolis,9,37.968115
n16_graph0,16,0.0,1.8,ground,metropolis,9,49.968115
n16_graph0,16,0.0,2.5,ground,metropolis,9,66.768115
n16_graph0,16,0.0,5.0,ground,metropolis,9,126.768115
n16_graph0,16,0.0,0.1,ground,metropolis,10,11.770355
n16_graph0,16,0.0,0.2,ground,metropolis,10,13.620355
n16_graph0,16,0.0,0.3,ground,metropolis,10,15.590355
n16_graph0,16,0.0,0.5,ground,metropolis,10,19.110355
n16_graph0,16,0.0,0.8,ground,metropolis,10,25.590355
n16_graph0,16,0.0,1.0,ground,metropolis,10,30.390355
n16_graph0,16,0.0,1.3,ground,metropolis,10,37.590355
n16_graph0,16,0.0,1.8,ground,metropolis,10,49.590355
n16_graph0,16,0.0,2.5,ground,metropolis,10,66.390355
n16_graph0,16,0.0,5.0,ground,metropolis,10,126.390355
n16_graph0,16,0.0,0.1,ground,metropolis,11,11.708535
n16_graph0,16,0.0,0.2,ground,metropolis,11,13.472170
n16_graph0,16,0.0,0.3,ground,metropolis,11,15.363080
n16_graph0,16,0.0,0.5,ground,metropolis,11,18.763080
n16_graph0,16,0.0,0.8,ground,metropolis,11,25.226715
n16_graph0,16,0.0,1.0,ground,metropolis,11,30.026715
n16_graph0,16,0.0,1.3,ground,metropolis,11,37.226715
n16_graph0,16,0.0,1.8,ground,metropolis,11,49.226715
n16_graph0,16,0.0,2.5,ground,metropolis,11,66.026715
n16_graph0,16,0.0,5.0,ground,metropolis,11,126.026715
n16_graph0,16,0.0,0.1,ground,metropolis,12,11.632020
n16_graph0,16,0.0,0.2,ground,metropolis,12,13.323685
n16_graph0,16,0.0,0.3,ground,metropolis,12,15.173685
n16_graph0,16,0.0,0.5,ground,metropolis,12,18.473685
n16_graph0,16,0.0,0.8,ground,metropolis,12,24.923685
n16_graph0,16,0.0,1.0,ground,metropolis,12,29.723685
n16_graph0,16,0.0,1.3,ground,metropolis,12,36.923685
n16_graph0,16,0.0,1.8,ground,metropolis,12,48.923685
n16_graph0,16,0.0,2.5,ground,metropolis,12,65.723685
n16_graph0,16,0.0,5.0,ground,metropolis,12,125.723685
n16_graph0,16,0.0,0.1,ground,metropolis,13,11.590355
n16_graph0,16,0.0,0.2,ground,metropolis,13,13.221125
n16_graph0,16,0.0,0.3,ground,metropolis,13,15.021125
n16_graph0,16,0.0,0.5,ground,metropolis,13,18.251895
n16_graph0,16,0.0,0.8,ground,metropolis,13,24.690360
n16_graph0,16,0.0,1.0,ground,metropolis,13,29.490360
n16_graph0,16,0.0,1.3,ground,metropolis,13,36.690360
n16_graph0,16,0.0,1.8,ground,metropolis,13,48.690360
n16_graph0,16,0.0,2.5,ground,metropolis,13,65.490360
n16_graph0,16,0.0,5.0,ground,metropolis,13,125.490360
n16_graph0,16,0.0,0.1,ground,metropolis,15,11.530355
n16_graph0,16,0.0,0.2,ground,metropolis,15,13.030355
n16_graph0,16,0.0,0.3,ground,metropolis,15,14.670355
n16_graph0,16,0.0,0.5,ground,metropolis,15,17.710355
n16_graph0,16,0.0,0.8,ground,metropolis,15,24.130355
n16_graph0,16,0.0,1.0,ground,metropolis,15,28.930355
n16_graph0,16,0.0,1.3,ground,metropolis,15,36.130355
n16_graph0,16,0.0,1.8,ground,metropolis,15,48.130355
n16_graph0,16,0.0,2.5,ground,metropolis,15,64.930355
n16_graph0,16,0.0,5.0,ground,metropolis,15,124.930355
n16_graph0,16,0.0,0.1,ground,metropolis,17,11.508002
n16_graph0,16,0.0,0.2,ground,metropolis,17,12.925649
n16_graph0,16,0.0,0.3,ground,metropolis,17,14.431529
n16_graph0,16,0.0,0.5,ground,metropolis,17,17.313879
n16_graph0,16,0.0,0.8,ground,metropolis,17,23.719764
n16_graph0,16,0.0,1.0,ground,metropolis,17,28.519764
n16_graph0,16,0.0,1.3,ground,metropolis,17,35.719764
n16_graph0,16,0.0,1.8,ground,metropolis,17,47.719764
n16_graph0,16,0.0,2.5,ground,metropolis,17,64.519764
n16_graph0,16,0.0,5.0,ground,metropolis,17,124.519764
n16_graph0,16,0.0,0.1,ground,metropolis,19,11.495618
n16_graph0,16,0.0,0.2,ground,metropolis,19,12.848251
n16_graph0,16,0.0,0.3,ground,metropolis,19,14.264042
n16_graph0,16,0.0,0.5,ground,metropolis,19,17.064044
n16_graph0,16,0.0,0.8,ground,metropolis,19,23.458784
n16_graph0,16,0.0,1.0,ground,metropolis,19,28.258784
n16_graph0,16,0.0,1.3,ground,metropolis,19,35.458784
n16_graph0,16,0.0,1.8,ground,metropolis,19,47.458784
n16_graph0,16,0.0,2.5,ground,metropolis,19,64.258784
n16_graph0,16,0.0,5.0,ground,metropolis,19,124.258784
n16_graph0,16,0.0,0.1,ground,metropolis,21,11.499879
n16_graph0,16,0.0,0.2,ground,metropolis,21,12.809403
n16_graph0,16,0.0,0.3,ground,metropolis,21,14.166546
n16_graph0,16,0.0,0.5,ground,metropolis,21,16.937972
