graph_id,n,h,h_eff,beta,method,m,log_Z,log_Z_exact,rel_err,error_bound,runtime_s
n16_graph0,16,0.0,0.0625,0.1,naive,2,12.289300,11.211396,9.614359e-02,4.135368e+02,0.0012
n16_graph0,16,0.0,0.0625,0.1,naive,4,10.813150,11.211396,3.552155e-02,2.419959e+02,0.0025
n16_graph0,16,0.0,0.0625,0.1,naive,6,11.404778,11.211396,1.724866e-02,1.685865e+02,0.0125
n16_graph0,16,0.0,0.0625,0.1,naive,8,11.095747,11.211396,1.031537e-02,1.278854e+02,0.0326
n16_graph0,16,0.0,0.0625,0.1,naive,10,11.283689,11.211396,6.448165e-03,1.020501e+02,0.0508
n16_graph0,16,0.0,0.0625,0.2,naive,2,11.547926,11.579760,2.749078e-03,2.004029e+02,0.0002
n16_graph0,16,0.0,0.0625,0.2,naive,4,11.948714,11.579760,3.186195e-02,1.143775e+02,0.0022
n16_graph0,16,0.0,0.0625,0.2,naive,6,11.466401,11.579760,9.789399e-03,7.771373e+01,0.0135
n16_graph0,16,0.0,0.0625,0.2,naive,8,11.495587,11.579760,7.268960e-03,5.749613e+01,0.0325
n16_graph0,16,0.0,0.0625,0.2,naive,10,11.670712,11.579760,7.854441e-03,4.474800e+01,0.0502
n16_graph0,16,0.0,0.0625,0.3,naive,2,11.256170,12.208845,7.803153e-02,1.294872e+02,0.0002
n16_graph0,16,0.0,0.0625,0.3,naive,4,12.264376,12.208845,4.548387e-03,7.207855e+01,0.0016
n16_graph0,16,0.0,0.0625,0.3,naive,6,12.448557,12.208845,1.963427e-02,4.776458e+01,0.0135
n16_graph0,16,0.0,0.0625,0.3,naive,8,12.324216,12.208845,9.449743e-03,3.446588e+01,0.0331
n16_graph0,16,0.0,0.0625,0.3,naive,10,12.175575,12.208845,2.725125e-03,2.616177e+01,0.0516
n16_graph0,16,0.0,0.0625,0.5,naive,2,13.566254,14.380214,5.660278e-02,7.297759e+01,0.0002
n16_graph0,16,0.0,0.0625,0.5,naive,4,13.897055,14.380214,3.359886e-02,3.864150e+01,0.0016
n16_graph0,16,0.0,0.0625,0.5,naive,6,14.084475,14.380214,2.056569e-02,2.435786e+01,0.0119
n16_graph0,16,0.0,0.0625,0.5,naive,8,14.223544,14.380214,1.089487e-02,1.671890e+01,0.0316
n16_graph0,16,0.0,0.0625,0.5,naive,10,14.334945,14.380214,3.148004e-03,1.207177e+01,0.0484
n16_graph0,16,0.0,0.0625,0.8,naive,2,20.150020,20.120869,1.448780e-03,4.151874e+01,0.0002
n16_graph0,16,0.0,0.0625,0.8,naive,4,20.174533,20.120869,2.667087e-03,2.039560e+01,0.0017
n16_graph0,16,0.0,0.0625,0.8,naive,6,20.183911,20.120869,3.133173e-03,1.192750e+01,0.0122
n16_graph0,16,0.0,0.0625,0.8,naive,8,20.190615,20.120869,3.466331e-03,7.595323e+00,0.0331
n16_graph0,16,0.0,0.0625,0.8,naive,10,20.196428,20.120869,3.755269e-03,5.087883e+00,0.0511
n16_graph0,16,0.0,0.0625,1.0,naive,2,25.041117,24.750655,1.173551e-02,3.119529e+01,0.0002
n16_graph0,16,0.0,0.0625,1.0,naive,4,25.045450,24.750655,1.191060e-02,1.457695e+01,0.0016
n16_graph0,16,0.0,0.0625,1.0,naive,6,25.046550,24.750655,1.195504e-02,8.108956e+00,0.0105
n16_graph0,16,0.0,0.0625,1.0,naive,8,25.047273,24.750655,1.198425e-02,4.911870e+00,0.0328
n16_graph0,16,0.0,0.0625,1.0,naive,10,25.047859,24.750655,1.200790e-02,3.129847e+00,0.0526
n16_graph0,16,0.0,0.0625,1.3,naive,2,32.506096,31.901299,1.895840e-02,2.183914e+01,0.0002
n16_graph0,16,0.0,0.0625,1.3,naive,4,32.506496,31.901299,1.897094e-02,9.467625e+00,0.0022
n16_graph0,16,0.0,0.0625,1.3,naive,6,32.506546,31.901299,1.897251e-02,4.886156e+00,0.0131
n16_graph0,16,0.0,0.0625,1.3,naive,8,32.506577,31.901299,1.897348e-02,2.745852e+00,0.0328
n16_graph0,16,0.0,0.0625,1.3,naive,10,32.506600,31.901299,1.897419e-02,1.623234e+00,0.0526
n16_graph0,16,0.0,0.0625,1.8,naive,2,45.000269,43.893513,2.521457e-02,1.347752e+01,0.0002
n16_graph0,16,0.0,0.0625,1.8,naive,4,45.000281,43.893513,2.521484e-02,5.156186e+00,0.0016
n16_graph0,16,0.0,0.0625,1.8,naive,6,45.000281,43.893513,2.521485e-02,2.348378e+00,0.0122
n16_graph0,16,0.0,0.0625,1.8,naive,8,45.000282,43.893513,2.521485e-02,1.164638e+00,0.0313
n16_graph0,16,0.0,0.0625,1.8,naive,10,45.000282,43.893513,2.521486e-02,6.075868e-01,0.0498
n16_graph0,16,0.0,0.0625,2.5,naive,2,62.500004,60.693152,2.977026e-02,7.781986e+00,0.0002
n16_graph0,16,0.0,0.0625,2.5,naive,4,62.500004,60.693152,2.977027e-02,2.499238e+00,0.0016
n16_graph0,16,0.0,0.0625,2.5,naive,6,62.500004,60.693152,2.977027e-02,9.555327e-01,0.0128
n16_graph0,16,0.0,0.0625,2.5,naive,8,62.500004,60.693152,2.977027e-02,3.978021e-01,0.0324
n16_graph0,16,0.0,0.0625,2.5,naive,10,62.500004,60.693152,2.977027e-02,1.742139e-01,0.0510
n16_graph0,16,0.0,0.0625,5.0,naive,2,125.000000,120.693147,3.568432e-02,1.759899e+00,0.0002
n16_graph0,16,0.0,0.0625,5.0,naive,4,125.000000,120.693147,3.568432e-02,3.025318e-01,0.0016
n16_graph0,16,0.0,0.0625,5.0,naive,6,125.000000,120.693147,3.568432e-02,6.191200e-02,0.0122
n16_graph0,16,0.0,0.0625,5.0,naive,8,125.000000,120.693147,3.568432e-02,1.379629e-02,0.0319
n16_graph0,16,0.0,0.0625,5.0,naive,10,125.000000,120.693147,3.568432e-02,3.234030e-03,0.0515
n16_graph0,16,0.1,0.1,0.1,naive,2,12.267869,11.212495,9.412482e-02,2.536570e+02,0.0002
n16_graph0,16,0.1,0.1,0.1,naive,4,10.827733,11.212495,3.431544e-02,1.462266e+02,0.0017
n16_graph0,16,0.1,0.1,0.1,naive,6,11.395868,11.212495,1.635441e-02,1.003521e+02,0.0131
n16_graph0,16,0.1,0.1,0.1,naive,8,11.103884,11.212495,9.686561e-03,7.499118e+01,0.0325
n16_graph0,16,0.1,0.1,0.1,naive,10,11.278677,11.212495,5.902583e-03,5.895060e+01,0.0511
n16_graph0,16,0.1,0.1,0.2,naive,2,11.543340,11.586041,3.685601e-03,1.206369e+02,0.0002
n16_graph0,16,0.1,0.1,0.2,naive,4,11.928162,11.586041,2.952873e-02,6.681716e+01,0.0016
n16_graph0,16,0.1,0.1,0.2,naive,6,11.483558,11.586041,8.845436e-03,4.405715e+01,0.0122
n16_graph0,16,0.1,0.1,0.2,naive,8,11.508807,11.586041,6.666183e-03,3.163213e+01,0.0311
n16_graph0,16,0.1,0.1,0.2,naive,10,11.660942,11.586041,6.464785e-03,2.389102e+01,0.0481
n16_graph0,16,0.1,0.1,0.3,naive,2,11.326306,12.230102,7.389935e-02,7.649590e+01,0.0002
n16_graph0,16,0.1,0.1,0.3,naive,4,12.261572,12.230102,2.573117e-03,4.070747e+01,0.0015
n16_graph0,16,0.1,0.1,0.3,naive,6,12.425540,12.230102,1.598010e-02,2.578877e+01,0.0126
n16_graph0,16,0.1,0.1,0.3,naive,8,12.320823,12.230102,7.417791e-03,1.778979e+01,0.0315
n16_graph0,16,0.1,0.1,0.3,naive,10,12.200530,12.230102,2.417952e-03,1.290938e+01,0.0493
n16_graph0,16,0.1,0.1,0.5,naive,2,13.815739,14.522358,4.865728e-02,4.151874e+01,0.0002
n16_graph0,16,0.1,0.1,0.5,naive,4,14.106919,14.522358,2.860681e-02,2.039560e+01,0.0015
n16_graph0,16,0.1,0.1,0.5,naive,6,14.259680,14.522358,1.808781e-02,1.192750e+01,0.0130
n16_graph0,16,0.1,0.1,0.5,naive,8,14.364768,14.522358,1.085153e-02,7.595323e+00,0.0329
n16_graph0,16,0.1,0.1,0.5,naive,10,14.442824,14.522358,5.476604e-03,5.087883e+00,0.0515
n16_graph0,16,0.1,0.1,0.8,naive,2,20.619590,20.735684,5.598754e-03,2.232019e+01,0.0002
n16_graph0,16,0.1,0.1,0.8,naive,4,20.639646,20.735684,4.631533e-03,9.724669e+00,0.0016
n16_graph0,16,0.1,0.1,0.8,naive,6,20.646409,20.735684,4.305402e-03,5.043971e+00,0.0127
n16_graph0,16,0.1,0.1,0.8,naive,8,20.650684,20.735684,4.099220e-03,2.848747e+00,0.0327
n16_graph0,16,0.1,0.1,0.8,naive,10,20.653969,20.735684,3.940798e-03,1.692503e+00,0.0521
n16_graph0,16,0.1,0.1,1.0,naive,2,25.637736,25.683807,1.793765e-03,1.614723e+01,0.0002
n16_graph0,16,0.1,0.1,1.0,naive,4,25.641121,25.683807,1.661970e-03,6.494285e+00,0.0015
n16_graph0,16,0.1,0.1,1.0,naive,6,25.641851,25.683807,1.633540e-03,3.109464e+00,0.0133
n16_graph0,16,0.1,0.1,1.0,naive,8,25.642262,25.683807,1.617533e-03,1.621150e+00,0.0334
