graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,0.1,1,13.490355
n16_graph0,16,0.0,0.1,2,13.490355
n16_graph0,16,0.0,0.1,3,13.490355
n16_graph0,16,0.0,0.1,4,13.490355
n16_graph0,16,0.0,0.1,5,13.490355
n16_graph0,16,0.0,0.1,6,13.490355
n16_graph0,16,0.0,0.1,8,13.490355
n16_graph0,16,0.0,0.1,10,13.490355
n16_graph0,16,0.0,0.1,12,13.490355
n16_graph0,16,0.0,0.1,15,13.490355
n16_graph0,16,0.0,0.1,18,13.490355
n16_graph0,16,0.0,0.1,22,13.490355
n16_graph0,16,0.0,0.1,28,13.490355
n16_graph0,16,0.0,0.1,34,13.490355
n16_graph0,16,0.0,0.1,42,13.490355
n16_graph0,16,0.0,0.1,52,13.490355
n16_graph0,16,0.0,0.1,63,13.490355
n16_graph0,16,0.0,0.1,78,13.490355
n16_graph0,16,0.0,0.1,96,13.490355
n16_graph0,16,0.0,0.1,118,13.490355
n16_graph0,16,0.0,0.1,146,13.490355
n16_graph0,16,0.0,0.1,179,13.490355
n16_graph0,16,0.0,0.1,221,13.490355
n16_graph0,16,0.0,0.1,271,13.490355
n16_graph0,16,0.0,0.1,334,13.490355
n16_graph0,16,0.0,0.1,411,13.490355
n16_graph0,16,0.0,0.1,506,13.490355
n16_graph0,16,0.0,0.1,623,13.490355
n16_graph0,16,0.0,0.1,766,13.490355
n16_graph0,16,0.0,0.1,943,13.490355
n16_graph0,16,0.0,0.1,1161,13.490355
n16_graph0,16,0.0,0.1,1428,13.490355
n16_graph0,16,0.0,0.1,1758,13.490355
n16_graph0,16,0.0,0.1,2163,13.490355
n16_graph0,16,0.0,0.1,2662,13.490355
n16_graph0,16,0.0,0.1,3276,13.301363
n16_graph0,16,0.0,0.1,4032,13.302229
n16_graph0,16,0.0,0.1,4961,13.286173
n16_graph0,16,0.0,0.1,6106,13.277377
n16_graph0,16,0.0,0.1,7514,13.285853
n16_graph0,16,0.0,0.1,9247,13.286318
n16_graph0,16,0.0,0.1,11380,13.270404
n16_graph0,16,0.0,0.1,14005,13.275985
n16_graph0,16,0.0,0.1,17235,12.987350
n16_graph0,16,0.0,0.1,21211,13.047134
n16_graph0,16,0.0,0.1,26103,13.045244
n16_graph0,16,0.0,0.1,32124,12.860803
n16_graph0,16,0.0,0.1,39534,12.838394
n16_graph0,16,0.0,0.1,48653,12.618871
n16_graph0,16,0.0,0.1,59875,12.382523
n16_graph0,16,0.0,0.1,73685,12.204935
n16_graph0,16,0.0,0.1,90681,12.039406
n16_graph0,16,0.0,0.1,111597,11.701393
n16_graph0,16,0.0,0.1,137338,11.438184
n16_graph0,16,0.0,0.1,169016,11.307288
n16_graph0,16,0.0,0.1,208000,11.166237
n16_graph0,16,0.0,0.2,1,15.890355
n16_graph0,16,0.0,0.2,2,15.890355
n16_graph0,16,0.0,0.2,3,15.890355
n16_graph0,16,0.0,0.2,4,15.890355
n16_graph0,16,0.0,0.2,5,15.890355
n16_graph0,16,0.0,0.2,6,15.890355
n16_graph0,16,0.0,0.2,8,15.890355
n16_graph0,16,0.0,0.2,10,15.890355
n16_graph0,16,0.0,0.2,12,15.890355
n16_graph0,16,0.0,0.2,15,15.890355
n16_graph0,16,0.0,0.2,18,15.890355
n16_graph0,16,0.0,0.2,22,15.890355
n16_graph0,16,0.0,0.2,28,15.890355
n16_graph0,16,0.0,0.2,34,15.890355
n16_graph0,16,0.0,0.2,42,15.890355
n16_graph0,16,0.0,0.2,52,15.890355
n16_graph0,16,0.0,0.2,63,15.890355
n16_graph0,16,0.0,0.2,78,15.890355
n16_graph0,16,0.0,0.2,96,15.890355
n16_graph0,16,0.0,0.2,118,15.890355
n16_graph0,16,0.0,0.2,146,15.890355
n16_graph0,16,0.0,0.2,179,15.890355
n16_graph0,16,0.0,0.2,221,15.890355
n16_graph0,16,0.0,0.2,271,15.890355
n16_graph0,16,0.0,0.2,334,15.890355
n16_graph0,16,0.0,0.2,411,15.890355
n16_graph0,16,0.0,0.2,506,15.890355
n16_graph0,16,0.0,0.2,623,15.890355
n16_graph0,16,0.0,0.2,766,15.890355
n16_graph0,16,0.0,0.2,943,15.890355
n16_graph0,16,0.0,0.2,1161,15.890355
n16_graph0,16,0.0,0.2,1428,15.890355
n16_graph0,16,0.0,0.2,1758,15.890355
n16_graph0,16,0.0,0.2,2163,15.890355
n16_graph0,16,0.0,0.2,2662,15.890355
n16_graph0,16,0.0,0.2,3276,15.500389
n16_graph0,16,0.0,0.2,4032,15.528456
n16_graph0,16,0.0,0.2,4961,15.534019
n16_graph0,16,0.0,0.2,6106,15.547382
n16_graph0,16,0.0,0.2,7514,15.540699
n16_graph0,16,0.0,0.2,9247,15.527873
n16_graph0,16,0.0,0.2,11380,15.534853
n16_graph0,16,0.0,0.2,14005,15.538085
n16_graph0,16,0.0,0.2,17235,15.182948
n16_graph0,16,0.0,0.2,21211,15.183316
n16_graph0,16,0.0,0.2,26103,15.190848
n16_graph0,16,0.0,0.2,32124,14.843246
n16_graph0,16,0.0,0.2,39534,14.831891
n16_graph0,16,0.0,0.2,48653,14.468897
n16_graph0,16,0.0,0.2,59875,14.076695
n16_graph0,16,0.0,0.2,73685,13.761377
n16_graph0,16,0.0,0.2,90681,13.448619
n16_graph0,16,0.0,0.2,111597,12.729604
n16_graph0,16,0.0,0.2,137338,12.261941
n16_graph0,16,0.0,0.2,169016,11.848075
