graph_id,n,h,beta,ref_E,n_steps,burnin
n30_graph0,30,0.0,0.1,-4.566032,2000000,1000000
n30_graph0,30,0.0,0.2,-9.274654,2000000,1000000
n30_graph0,30,0.0,0.3,-14.099352,2000000,1000000
n30_graph0,30,0.0,0.5,-25.221856,2000000,1000000
n30_graph0,30,0.0,0.8,-41.940918,2000000,1000000
n30_graph0,30,0.0,1.0,-44.273702,2000000,1000000
n30_graph0,30,0.0,1.3,-44.910450,2000000,1000000
n30_graph0,30,0.0,1.8,-44.998968,2000000,1000000
n30_graph0,30,0.0,2.5,-45.000000,2000000,1000000
n30_graph0,30,0.0,5.0,-45.000000,2000000,1000000
n30_graph0,30,0.1,0.1,-4.623108,2000000,1000000
n30_graph0,30,0.1,0.2,-9.503297,2000000,1000000
n30_graph0,30,0.1,0.3,-14.600116,2000000,1000000
n30_graph0,30,0.1,0.5,-27.845930,2000000,1000000
n30_graph0,30,0.1,0.8,-45.447258,2000000,1000000
n30_graph0,30,0.1,1.0,-47.502171,2000000,1000000
n30_graph0,30,0.1,1.3,-41.851674,2000000,1000000
n30_graph0,30,0.1,1.8,-41.996076,2000000,1000000
n30_graph0,30,0.1,2.5,-48.000000,2000000,1000000
n30_graph0,30,0.1,5.0,-43.445058,2000000,1000000
n30_graph0,30,0.2,0.1,-4.791181,2000000,1000000
n30_graph0,30,0.2,0.2,-9.914925,2000000,1000000
n30_graph0,30,0.2,0.3,-15.942883,2000000,1000000
n30_graph0,30,0.2,0.5,-33.808274,2000000,1000000
n30_graph0,30,0.2,0.8,-49.172860,2000000,1000000
n30_graph0,30,0.2,1.0,-50.594479,2000000,1000000
n30_graph0,30,0.2,1.3,-50.938649,2000000,1000000
n30_graph0,30,0.2,1.8,-50.998284,2000000,1000000
n30_graph0,30,0.2,2.5,-38.999871,2000000,1000000
n30_graph0,30,0.2,5.0,-34.197017,2000000,1000000
n30_graph0,30,0.5,0.1,-5.733132,2000000,1000000
n30_graph0,30,0.5,0.2,-13.468044,2000000,1000000
n30_graph0,30,0.5,0.3,-24.035542,2000000,1000000
n30_graph0,30,0.5,0.5,-49.035725,2000000,1000000
n30_graph0,30,0.5,0.8,-59.047186,2000000,1000000
n30_graph0,30,0.5,1.0,-59.803860,2000000,1000000
n30_graph0,30,0.5,1.3,-59.978704,2000000,1000000
n30_graph0,30,0.5,1.8,-59.999657,2000000,1000000
n30_graph0,30,0.5,2.5,-60.000000,2000000,1000000
n30_graph0,30,0.5,5.0,-60.000000,2000000,1000000
n30_graph0,30,1.0,0.1,-9.319084,2000000,1000000
n30_graph0,30,1.0,0.2,-24.092756,2000000,1000000
n30_graph0,30,1.0,0.3,-44.495032,2000000,1000000
n30_graph0,30,1.0,0.5,-69.092048,2000000,1000000
n30_graph0,30,1.0,0.8,-74.547476,2000000,1000000
n30_graph0,30,1.0,1.0,-74.909140,2000000,1000000
n30_graph0,30,1.0,1.3,-74.990304,2000000,1000000
n30_graph0,30,1.0,1.8,-74.999712,2000000,1000000
n30_graph0,30,1.0,2.5,-75.000000,2000000,1000000
n30_graph0,30,1.0,5.0,-75.000000,2000000,1000000
n30_graph1,30,0.0,0.1,-4.548486,2000000,1000000
n30_graph1,30,0.0,0.2,-9.040584,2000000,1000000
n30_graph1,30,0.0,0.3,-13.713298,2000000,1000000
n30_graph1,30,0.0,0.5,-24.596428,2000000,1000000
n30_graph1,30,0.0,0.8,-42.208922,2000000,1000000
n30_graph1,30,0.0,1.0,-44.332506,2000000,1000000
n30_graph1,30,0.0,1.3,-44.916102,2000000,1000000
n30_graph1,30,0.0,1.8,-44.996324,2000000,1000000
n30_graph1,30,0.0,2.5,-45.000000,2000000,1000000
n30_graph1,30,0.0,5.0,-45.000000,2000000,1000000
n30_graph1,30,0.1,0.1,-4.513300,2000000,1000000
n30_graph1,30,0.1,0.2,-9.224253,2000000,1000000
n30_graph1,30,0.1,0.3,-14.189847,2000000,1000000
n30_graph1,30,0.1,0.5,-27.918415,2000000,1000000
n30_graph1,30,0.1,0.8,-45.871519,2000000,1000000
n30_graph1,30,0.1,1.0,-47.483094,2000000,1000000
n30_graph1,30,0.1,1.3,-47.930119,2000000,1000000
n30_graph1,30,0.1,1.8,-47.996687,2000000,1000000
n30_graph1,30,0.1,2.5,-48.000000,2000000,1000000
n30_graph1,30,0.1,5.0,-48.000000,2000000,1000000
n30_graph1,30,0.2,0.1,-4.685373,2000000,1000000
n30_graph1,30,0.2,0.2,-9.698357,2000000,1000000
n30_graph1,30,0.2,0.3,-15.431914,2000000,1000000
n30_graph1,30,0.2,0.5,-33.885991,2000000,1000000
n30_graph1,30,0.2,0.8,-49.223402,2000000,1000000
n30_graph1,30,0.2,1.0,-50.595578,2000000,1000000
n30_graph1,30,0.2,1.3,-50.942816,2000000,1000000
n30_graph1,30,0.2,1.8,-50.996883,2000000,1000000
n30_graph1,30,0.2,2.5,-51.000000,2000000,1000000
n30_graph1,30,0.2,5.0,-51.000000,2000000,1000000
n30_graph1,30,0.5,0.1,-5.766552,2000000,1000000
n30_graph1,30,0.5,0.2,-13.054177,2000000,1000000
n30_graph1,30,0.5,0.3,-23.903530,2000000,1000000
n30_graph1,30,0.5,0.5,-49.560013,2000000,1000000
n30_graph1,30,0.5,0.8,-59.066467,2000000,1000000
n30_graph1,30,0.5,1.0,-59.792010,2000000,1000000
n30_graph1,30,0.5,1.3,-59.976353,2000000,1000000
n30_graph1,30,0.5,1.8,-59.999510,2000000,1000000
n30_graph1,30,0.5,2.5,-29.999685,2000000,1000000
n30_graph1,30,0.5,5.0,-60.000000,2000000,1000000
n30_graph1,30,1.0,0.1,-9.222308,2000000,1000000
n30_graph1,30,1.0,0.2,-24.114032,2000000,1000000
n30_graph1,30,1.0,0.3,-44.459640,2000000,1000000
n30_graph1,30,1.0,0.5,-69.243440,2000000,1000000
n30_graph1,30,1.0,0.8,-74.551160,2000000,1000000
n30_graph1,30,1.0,1.0,-74.918868,2000000,1000000
n30_graph1,30,1.0,1.3,-74.994832,2000000,1000000
n30_graph1,30,1.0,1.8,-74.999888,2000000,1000000
n30_graph1,30,1.0,2.5,-75.000000,2000000,1000000
n30_graph1,30,1.0,5.0,-75.000000,2000000,1000000
n40_graph0,40,0.0,0.1,-6.118024,2000000,1000000
n40_graph0,40,0.0,0.2,-12.337068,2000000,1000000
n40_graph0,40,0.0,0.3,-18.347090,2000000,1000000
n40_graph0,40,0.0,0.5,-32.279644,2000000,1000000
n40_graph0,40,0.0,0.8,-56.119422,2000000,1000000
n40_graph0,40,0.0,1.0,-59.040172,2000000,1000000
n40_graph0,40,0.0,1.3,-59.859932,2000000,1000000
n40_graph0,40,0.0,1.8,-59.995874,2000000,1000000
n40_graph0,40,0.0,2.5,-59.998974,2000000,1000000
n40_graph0,40,0.0,5.0,-60.000000,2000000,1000000
n40_graph0,40,0.1,0.1,-6.147203,2000000,1000000
n40_graph0,40,0.1,0.2,-12.466299,2000000,1000000
n40_graph0,40,0.1,0.3,-19.037748,2000000,1000000
n40_graph0,40,0.1,0.5,-37.174919,2000000,1000000
n40_graph0,40,0.1,0.8,-60.964520,2000000,1000000
n40_graph0,40,0.1,1.0,-63.269495,2000000,1000000
n40_graph0,40,0.1,1.3,-63.914148,2000000,1000000
n40_graph0,40,0.1,1.8,-63.995223,2000000,1000000
n40_graph0,40,0.1,2.5,-64.000000,2000000,1000000
n40_graph0,40,0.1,5.0,-64.000000,2000000,1000000
n40_graph0,40,0.2,0.1,-6.337946,2000000,1000000
n40_graph0,40,0.2,0.2,-13.005373,2000000,1000000
n40_graph0,40,0.2,0.3,-20.663135,2000000,1000000
n40_graph0,40,0.2,0.5,-44.925358,2000000,1000000
n40_graph0,40,0.2,0.8,-65.772494,2000000,1000000
n40_graph0,40,0.2,1.0,-67.437977,2000000,1000000
n40_graph0,40,0.2,1.3,-67.939460,2000000,1000000
n40_graph0,40,0.2,1.8,-67.997792,2000000,1000000
n40_graph0,40,0.2,2.5,-68.000000,2000000,1000000
n40_graph0,40,0.2,5.0,-68.000000,2000000,1000000
n40_graph0,40,0.5,0.1,-7.645079,2000000,1000000
n40_graph0,40,0.5,0.2,-17.402508,2000000,1000000
n40_graph0,40,0.5,0.3,-32.191037,2000000,1000000
n40_graph0,40,0.5,0.5,-65.845198,2000000,1000000
n40_graph0,40,0.5,0.8,-78.728695,2000000,1000000
n40_graph0,40,0.5,1.0,-79.693276,2000000,1000000
n40_graph0,40,0.5,1.3,-79.969477,2000000,1000000
n40_graph0,40,0.5,1.8,-79.999594,2000000,1000000
n40_graph0,40,0.5,2.5,-80.000000,2000000,1000000
n40_graph0,40,0.5,5.0,-80.000000,2000000,1000000
n40_graph0,40,1.0,0.1,-12.557288,2000000,1000000
n40_graph0,40,1.0,0.2,-32.327960,2000000,1000000
n40_graph0,40,1.0,0.3,-59.539700,2000000,1000000
n40_graph0,40,1.0,0.5,-92.224512,2000000,1000000
n40_graph0,40,1.0,0.8,-99.428224,2000000,1000000
n40_graph0,40,1.0,1.0,-99.891152,2000000,1000000
n40_graph0,40,1.0,1.3,-99.989856,2000000,1000000
n40_graph0,40,1.0,1.8,-99.999416,2000000,1000000
n40_graph0,40,1.0,2.5,-100.000000,2000000,1000000
n40_graph0,40,1.0,5.0,-100.000000,2000000,1000000
n40_graph1,40,0.0,0.1,-5.985544,2000000,1000000
n40_graph1,40,0.0,0.2,-11.931360,2000000,1000000
n40_graph1,40,0.0,0.3,-18.111830,2000000,1000000
n40_graph1,40,0.0,0.5,-32.255292,2000000,1000000
n40_graph1,40,0.0,0.8,-56.165560,2000000,1000000
n40_graph1,40,0.0,1.0,-59.146030,2000000,1000000
n40_graph1,40,0.0,1.3,-59.879900,2000000,1000000
n40_graph1,40,0.0,1.8,-59.993228,2000000,1000000
n40_graph1,40,0.0,2.5,-60.000000,2000000,1000000
n40_graph1,40,0.0,5.0,-60.000000,2000000,1000000
n40_graph1,40,0.1,0.1,-6.035045,2000000,1000000
n40_graph1,40,0.1,0.2,-12.273273,2000000,1000000
n40_graph1,40,0.1,0.3,-18.668724,2000000,1000000
n40_graph1,40,0.1,0.5,-36.894268,2000000,1000000
n40_graph1,40,0.1,0.8,-61.133519,2000000,1000000
n40_graph1,40,0.1,1.0,-63.312534,2000000,1000000
n40_graph1,40,0.1,1.3,-63.919616,2000000,1000000
n40_graph1,40,0.1,1.8,-63.996404,2000000,1000000
n40_graph1,40,0.1,2.5,-64.000000,2000000,1000000
n40_graph1,40,0.1,5.0,-56.000000,2000000,1000000
n40_graph1,40,0.2,0.1,-6.183249,2000000,1000000
n40_graph1,40,0.2,0.2,-12.895435,2000000,1000000
n40_graph1,40,0.2,0.3,-20.568704,2000000,1000000
n40_graph1,40,0.2,0.5,-45.720845,2000000,1000000
n40_graph1,40,0.2,0.8,-65.733297,2000000,1000000
n40_graph1,40,0.2,1.0,-67.453547,2000000,1000000
n40_graph1,40,0.2,1.3,-67.924364,2000000,1000000
n40_graph1,40,0.2,1.8,-51.989771,2000000,1000000
n40_graph1,40,0.2,2.5,-68.000000,2000000,1000000
n40_graph1,40,0.2,5.0,-41.595967,2000000,1000000
n40_graph1,40,0.5,0.1,-7.631661,2000000,1000000
n40_graph1,40,0.5,0.2,-17.296157,2000000,1000000
n40_graph1,40,0.5,0.3,-31.712248,2000000,1000000
n40_graph1,40,0.5,0.5,-65.900999,2000000,1000000
n40_graph1,40,0.5,0.8,-78.738184,2000000,1000000
n40_graph1,40,0.5,1.0,-79.701665,2000000,1000000
n40_graph1,40,0.5,1.3,-79.961153,2000000,1000000
n40_graph1,40,0.5,1.8,-79.999216,2000000,1000000
n40_graph1,40,0.5,2.5,-80.000000,2000000,1000000
n40_graph1,40,0.5,5.0,-80.000000,2000000,1000000
n40_graph1,40,1.0,0.1,-12.195976,2000000,1000000
n40_graph1,40,1.0,0.2,-32.228824,2000000,1000000
n40_graph1,40,1.0,0.3,-58.929332,2000000,1000000
n40_graph1,40,1.0,0.5,-92.259208,2000000,1000000
n40_graph1,40,1.0,0.8,-99.453312,2000000,1000000
n40_graph1,40,1.0,1.0,-99.897324,2000000,1000000
n40_graph1,40,1.0,1.3,-99.988200,2000000,1000000
n40_graph1,40,1.0,1.8,-99.999808,2000000,1000000
n40_graph1,40,1.0,2.5,-100.000000,2000000,1000000
n40_graph1,40,1.0,5.0,-100.000000,2000000,1000000
