graph_id,n,h,beta,ref_log_Z
n30_graph0,30,0.0,0.1,21.022717
n30_graph0,30,0.0,0.2,21.714751
n30_graph0,30,0.0,0.3,22.883452
n30_graph0,30,0.0,0.5,26.815572
n30_graph0,30,0.0,0.8,36.889989
n30_graph0,30,0.0,1.0,45.511451
n30_graph0,30,0.0,1.3,58.889073
n30_graph0,30,0.0,1.8,81.366428
n30_graph0,30,0.0,2.5,112.866067
n30_graph0,30,0.0,5.0,225.366067
n30_graph0,30,0.1,0.1,21.025571
n30_graph0,30,0.1,0.2,21.731891
n30_graph0,30,0.1,0.3,22.937062
n30_graph0,30,0.1,0.5,27.181666
n30_graph0,30,0.1,0.8,38.175645
n30_graph0,30,0.1,1.0,47.470587
n30_graph0,30,0.1,1.3,60.873664
n30_graph0,30,0.1,1.8,81.835602
n30_graph0,30,0.1,2.5,113.334228
n30_graph0,30,0.1,5.0,227.640551
n30_graph0,30,0.2,0.1,21.033974
n30_graph0,30,0.2,0.2,21.769280
n30_graph0,30,0.2,0.3,23.062170
n30_graph0,30,0.2,0.5,28.037286
n30_graph0,30,0.2,0.8,40.484456
n30_graph0,30,0.2,1.0,50.461190
n30_graph0,30,0.2,1.3,65.691159
n30_graph0,30,0.2,1.8,91.175392
n30_graph0,30,0.2,2.5,122.674747
n30_graph0,30,0.2,5.0,214.170857
n30_graph0,30,0.5,0.1,21.081072
n30_graph0,30,0.5,0.2,22.041131
n30_graph0,30,0.5,0.3,23.916310
n30_graph0,30,0.5,0.5,31.223437
n30_graph0,30,0.5,0.8,47.435873
n30_graph0,30,0.5,1.0,59.320978
n30_graph0,30,0.5,1.3,77.288363
n30_graph0,30,0.5,1.8,107.282953
n30_graph0,30,0.5,2.5,149.282833
n30_graph0,30,0.5,5.0,299.282833
n30_graph0,30,1.0,0.1,21.260370
n30_graph0,30,1.0,0.2,22.930962
n30_graph0,30,1.0,0.3,26.360351
n30_graph0,30,1.0,0.5,37.719059
n30_graph0,30,1.0,0.8,59.264988
n30_graph0,30,1.0,1.0,74.210649
n30_graph0,30,1.0,1.3,96.695566
n30_graph0,30,1.0,1.8,134.193070
n30_graph0,30,1.0,2.5,186.692969
n30_graph0,30,1.0,5.0,374.192969
n30_graph1,30,0.0,0.1,21.021840
n30_graph1,30,0.0,0.2,21.701293
n30_graph1,30,0.0,0.3,22.838987
n30_graph1,30,0.0,0.5,26.669960
n30_graph1,30,0.0,0.8,36.690762
n30_graph1,30,0.0,1.0,45.344905
n30_graph1,30,0.0,1.3,58.732196
n30_graph1,30,0.0,1.8,81.210303
n30_graph1,30,0.0,2.5,112.709016
n30_graph1,30,0.0,5.0,225.209016
n30_graph1,30,0.1,0.1,21.020080
n30_graph1,30,0.1,0.2,21.706958
n30_graph1,30,0.1,0.3,22.877663
n30_graph1,30,0.1,0.5,27.088489
