graph_id,n,h,beta,init,dynamics,step,running_mean_E
n16_graph0,16,0.0,0.1,ground,metropolis,1,-24
n16_graph0,16,0.0,0.1,ground,metropolis,2,-24
n16_graph0,16,0.0,0.1,ground,metropolis,3,-22
n16_graph0,16,0.0,0.1,ground,metropolis,4,-19.5
n16_graph0,16,0.0,0.1,ground,metropolis,5,-18
n16_graph0,16,0.0,0.1,ground,metropolis,6,-16.6667
n16_graph0,16,0.0,0.1,ground,metropolis,7,-16
n16_graph0,16,0.0,0.1,ground,metropolis,8,-15.5
n16_graph0,16,0.0,0.1,ground,metropolis,9,-14.4444
n16_graph0,16,0.0,0.1,ground,metropolis,10,-13.6
n16_graph0,16,0.0,0.1,ground,metropolis,11,-12.3636
n16_graph0,16,0.0,0.1,ground,metropolis,12,-10.8333
n16_graph0,16,0.0,0.1,ground,metropolis,13,-10
n16_graph0,16,0.0,0.1,ground,metropolis,15,-8.8
n16_graph0,16,0.0,0.1,ground,metropolis,17,-8.35294
n16_graph0,16,0.0,0.1,ground,metropolis,19,-8.10526
n16_graph0,16,0.0,0.1,ground,metropolis,21,-8.19048
n16_graph0,16,0.0,0.1,ground,metropolis,23,-8.43478
n16_graph0,16,0.0,0.1,ground,metropolis,26,-8.15385
n16_graph0,16,0.0,0.1,ground,metropolis,29,-7.72414
n16_graph0,16,0.0,0.1,ground,metropolis,32,-6.5625
n16_graph0,16,0.0,0.1,ground,metropolis,36,-5.61111
n16_graph0,16,0.0,0.1,ground,metropolis,40,-4.25
n16_graph0,16,0.0,0.1,ground,metropolis,44,-3.22727
n16_graph0,16,0.0,0.1,ground,metropolis,50,-2.08
n16_graph0,16,0.0,0.1,ground,metropolis,55,-1.45455
n16_graph0,16,0.0,0.1,ground,metropolis,62,-1.48387
n16_graph0,16,0.0,0.1,ground,metropolis,69,-1.30435
n16_graph0,16,0.0,0.1,ground,metropolis,76,-1.28947
n16_graph0,16,0.0,0.1,ground,metropolis,85,-1.43529
n16_graph0,16,0.0,0.1,ground,metropolis,95,-1.55789
n16_graph0,16,0.0,0.1,ground,metropolis,106,-1.43396
n16_graph0,16,0.0,0.1,ground,metropolis,118,-1.57627
n16_graph0,16,0.0,0.1,ground,metropolis,131,-1.81679
n16_graph0,16,0.0,0.1,ground,metropolis,146,-2.13699
n16_graph0,16,0.0,0.1,ground,metropolis,163,-2.30675
n16_graph0,16,0.0,0.1,ground,metropolis,182,-2.79121
n16_graph0,16,0.0,0.1,ground,metropolis,203,-3.03448
n16_graph0,16,0.0,0.1,ground,metropolis,226,-3.19469
n16_graph0,16,0.0,0.1,ground,metropolis,252,-2.9127
n16_graph0,16,0.0,0.1,ground,metropolis,281,-2.81851
n16_graph0,16,0.0,0.1,ground,metropolis,313,-2.74121
n16_graph0,16,0.0,0.1,ground,metropolis,348,-2.81034
n16_graph0,16,0.0,0.1,ground,metropolis,388,-3.09278
n16_graph0,16,0.0,0.1,ground,metropolis,433,-2.71594
n16_graph0,16,0.0,0.1,ground,metropolis,482,-2.3029
n16_graph0,16,0.0,0.1,ground,metropolis,538,-2.27138
n16_graph0,16,0.0,0.1,ground,metropolis,599,-2.5576
n16_graph0,16,0.0,0.1,ground,metropolis,668,-2.57485
n16_graph0,16,0.0,0.1,ground,metropolis,744,-2.6129
n16_graph0,16,0.0,0.1,ground,metropolis,829,-2.68034
n16_graph0,16,0.0,0.1,ground,metropolis,924,-2.4329
n16_graph0,16,0.0,0.1,ground,metropolis,1030,-2.32233
n16_graph0,16,0.0,0.1,ground,metropolis,1148,-2.3101
n16_graph0,16,0.0,0.1,ground,metropolis,1279,-2.45504
n16_graph0,16,0.0,0.1,ground,metropolis,1426,-2.41935
n16_graph0,16,0.0,0.1,ground,metropolis,1589,-2.46444
n16_graph0,16,0.0,0.1,ground,metropolis,1771,-2.49351
n16_graph0,16,0.0,0.1,ground,metropolis,1974,-2.52381
n16_graph0,16,0.0,0.1,ground,metropolis,2200,-2.67545
n16_graph0,16,0.0,0.1,ground,metropolis,2452,-2.61664
n16_graph0,16,0.0,0.1,ground,metropolis,2732,-2.57906
n16_graph0,16,0.0,0.1,ground,metropolis,3045,-2.57668
n16_graph0,16,0.0,0.1,ground,metropolis,3394,-2.63288
n16_graph0,16,0.0,0.1,ground,metropolis,3783,-2.64129
n16_graph0,16,0.0,0.1,ground,metropolis,4216,-2.48624
n16_graph0,16,0.0,0.1,ground,metropolis,4698,-2.54491
n16_graph0,16,0.0,0.1,ground,metropolis,5236,-2.52979
n16_graph0,16,0.0,0.1,ground,metropolis,5836,-2.48561
n16_graph0,16,0.0,0.1,ground,metropolis,6504,-2.41236
n16_graph0,16,0.0,0.1,ground,metropolis,7248,-2.34658
n16_graph0,16,0.0,0.1,ground,metropolis,8078,-2.37658
n16_graph0,16,0.0,0.1,ground,metropolis,9003,-2.29834
n16_graph0,16,0.0,0.1,ground,metropolis,10034,-2.41618
n16_graph0,16,0.0,0.1,ground,metropolis,11183,-2.43334
n16_graph0,16,0.0,0.1,ground,metropolis,12463,-2.40825
n16_graph0,16,0.0,0.1,ground,metropolis,13890,-2.40173
n16_graph0,16,0.0,0.1,ground,metropolis,15480,-2.43101
n16_graph0,16,0.0,0.1,ground,metropolis,17253,-2.42033
n16_graph0,16,0.0,0.1,ground,metropolis,19228,-2.43239
n16_graph0,16,0.0,0.1,ground,metropolis,21429,-2.41449
n16_graph0,16,0.0,0.1,ground,metropolis,23883,-2.40171
n16_graph0,16,0.0,0.1,ground,metropolis,26617,-2.39839
n16_graph0,16,0.0,0.1,ground,metropolis,29664,-2.42381
n16_graph0,16,0.0,0.1,ground,metropolis,33060,-2.43472
n16_graph0,16,0.0,0.1,ground,metropolis,36846,-2.46849
n16_graph0,16,0.0,0.1,ground,metropolis,41064,-2.50838
n16_graph0,16,0.0,0.1,ground,metropolis,45765,-2.48574
n16_graph0,16,0.0,0.1,ground,metropolis,51005,-2.47509
n16_graph0,16,0.0,0.1,ground,metropolis,56845,-2.40809
n16_graph0,16,0.0,0.1,ground,metropolis,63353,-2.43941
n16_graph0,16,0.0,0.1,ground,metropolis,70606,-2.42798
n16_graph0,16,0.0,0.1,ground,metropolis,78690,-2.41439
n16_graph0,16,0.0,0.1,ground,metropolis,87699,-2.41287
n16_graph0,16,0.0,0.1,ground,metropolis,97740,-2.39315
n16_graph0,16,0.0,0.1,ground,metropolis,108930,-2.42124
n16_graph0,16,0.0,0.1,ground,metropolis,121401,-2.42237
n16_graph0,16,0.0,0.1,ground,metropolis,135300,-2.42826
n16_graph0,16,0.0,0.1,ground,metropolis,150791,-2.4115
n16_graph0,16,0.0,0.1,ground,metropolis,168055,-2.42573
n16_graph0,16,0.0,0.1,ground,metropolis,187295,-2.42108
n16_graph0,16,0.0,0.1,ground,metropolis,208739,-2.43458
n16_graph0,16,0.0,0.1,ground,metropolis,232637,-2.42614
n16_graph0,16,0.0,0.1,ground,metropolis,259272,-2.42836
n16_graph0,16,0.0,0.1,ground,metropolis,288956,-2.4348
n16_graph0,16,0.0,0.1,ground,metropolis,322038,-2.43583
n16_graph0,16,0.0,0.1,ground,metropolis,358909,-2.41718
n16_graph0,16,0.0,0.1,ground,metropolis,400000,-2.41586
n16_graph0,16,0.0,0.2,ground,metropolis,1,-24
n16_graph0,16,0.0,0.2,ground,metropolis,2,-24
n16_graph0,16,0.0,0.2,ground,metropolis,3,-24
n16_graph0,16,0.0,0.2,ground,metropolis,4,-24
n16_graph0,16,0.0,0.2,ground,metropolis,5,-24
n16_graph0,16,0.0,0.2,ground,metropolis,6,-24
n16_graph0,16,0.0,0.2,ground,metropolis,7,-24
n16_graph0,16,0.0,0.2,ground,metropolis,8,-24
n16_graph0,16,0.0,0.2,ground,metropolis,9,-24
n16_graph0,16,0.0,0.2,ground,metropolis,10,-23.4
n16_graph0,16,0.0,0.2,ground,metropolis,11,-22.9091
n16_graph0,16,0.0,0.2,ground,metropolis,12,-23
n16_graph0,16,0.0,0.2,ground,metropolis,13,-22.6154
n16_graph0,16,0.0,0.2,ground,metropolis,15,-21.2
n16_graph0,16,0.0,0.2,ground,metropolis,17,-20
n16_graph0,16,0.0,0.2,ground,metropolis,19,-18.9474
n16_graph0,16,0.0,0.2,ground,metropolis,21,-18
n16_graph0,16,0.0,0.2,ground,metropolis,23,-16.6957
n16_graph0,16,0.0,0.2,ground,metropolis,26,-15.0769
n16_graph0,16,0.0,0.2,ground,metropolis,29,-14.4828
n16_graph0,16,0.0,0.2,ground,metropolis,32,-13.8125
n16_graph0,16,0.0,0.2,ground,metropolis,36,-13
n16_graph0,16,0.0,0.2,ground,metropolis,40,-12.55
n16_graph0,16,0.0,0.2,ground,metropolis,44,-12.4545
n16_graph0,16,0.0,0.2,ground,metropolis,50,-12.32
n16_graph0,16,0.0,0.2,ground,metropolis,55,-11.7455
n16_graph0,16,0.0,0.2,ground,metropolis,62,-11.4516
n16_graph0,16,0.0,0.2,ground,metropolis,69,-11.1304
n16_graph0,16,0.0,0.2,ground,metropolis,76,-10.4737
n16_graph0,16,0.0,0.2,ground,metropolis,85,-9.17647
n16_graph0,16,0.0,0.2,ground,metropolis,95,-8.02105
n16_graph0,16,0.0,0.2,ground,metropolis,106,-7.32075
n16_graph0,16,0.0,0.2,ground,metropolis,118,-7.32203
n16_graph0,16,0.0,0.2,ground,metropolis,131,-6.96183
n16_graph0,16,0.0,0.2,ground,metropolis,146,-6.05479
n16_graph0,16,0.0,0.2,ground,metropolis,163,-6.7362
n16_graph0,16,0.0,0.2,ground,metropolis,182,-7.38462
n16_graph0,16,0.0,0.2,ground,metropolis,203,-7.24138
n16_graph0,16,0.0,0.2,ground,metropolis,226,-6.74336
n16_graph0,16,0.0,0.2,ground,metropolis,252,-6.65079
n16_graph0,16,0.0,0.2,ground,metropolis,281,-6.59075
n16_graph0,16,0.0,0.2,ground,metropolis,313,-6.51118
n16_graph0,16,0.0,0.2,ground,metropolis,348,-6.14943
n16_graph0,16,0.0,0.2,ground,metropolis,388,-5.71649
n16_graph0,16,0.0,0.2,ground,metropolis,433,-5.98614
n16_graph0,16,0.0,0.2,ground,metropolis,482,-5.60581
n16_graph0,16,0.0,0.2,ground,metropolis,538,-5.51301
n16_graph0,16,0.0,0.2,ground,metropolis,599,-5.35225
n16_graph0,16,0.0,0.2,ground,metropolis,668,-4.94311
n16_graph0,16,0.0,0.2,ground,metropolis,744,-4.97849
n16_graph0,16,0.0,0.2,ground,metropolis,829,-5.12907
n16_graph0,16,0.0,0.2,ground,metropolis,924,-5.09091
n16_graph0,16,0.0,0.2,ground,metropolis,1030,-5.08738
n16_graph0,16,0.0,0.2,ground,metropolis,1148,-5.14634
n16_graph0,16,0.0,0.2,ground,metropolis,1279,-4.957
n16_graph0,16,0.0,0.2,ground,metropolis,1426,-4.98457
n16_graph0,16,0.0,0.2,ground,metropolis,1589,-5.23977
n16_graph0,16,0.0,0.2,ground,metropolis,1771,-5.29531
n16_graph0,16,0.0,0.2,ground,metropolis,1974,-5.19554
n16_graph0,16,0.0,0.2,ground,metropolis,2200,-5.22818
n16_graph0,16,0.0,0.2,ground,metropolis,2452,-5.34095
n16_graph0,16,0.0,0.2,ground,metropolis,2732,-5.27526
n16_graph0,16,0.0,0.2,ground,metropolis,3045,-5.41281
n16_graph0,16,0.0,0.2,ground,metropolis,3394,-5.4561
n16_graph0,16,0.0,0.2,ground,metropolis,3783,-5.61565
n16_graph0,16,0.0,0.2,ground,metropolis,4216,-5.52277
n16_graph0,16,0.0,0.2,ground,metropolis,4698,-5.38144
n16_graph0,16,0.0,0.2,ground,metropolis,5236,-5.4194
n16_graph0,16,0.0,0.2,ground,metropolis,5836,-5.39582
n16_graph0,16,0.0,0.2,ground,metropolis,6504,-5.27737
n16_graph0,16,0.0,0.2,ground,metropolis,7248,-5.31236
n16_graph0,16,0.0,0.2,ground,metropolis,8078,-5.18049
n16_graph0,16,0.0,0.2,ground,metropolis,9003,-5.22115
n16_graph0,16,0.0,0.2,ground,metropolis,10034,-5.21686
n16_graph0,16,0.0,0.2,ground,metropolis,11183,-5.03997
n16_graph0,16,0.0,0.2,ground,metropolis,12463,-5.01228
n16_graph0,16,0.0,0.2,ground,metropolis,13890,-4.98719
n16_graph0,16,0.0,0.2,ground,metropolis,15480,-5.00388
n16_graph0,16,0.0,0.2,ground,metropolis,17253,-4.94708
n16_graph0,16,0.0,0.2,ground,metropolis,19228,-4.93
n16_graph0,16,0.0,0.2,ground,metropolis,21429,-4.98679
n16_graph0,16,0.0,0.2,ground,metropolis,23883,-4.98581
n16_graph0,16,0.0,0.2,ground,metropolis,26617,-5.05932
n16_graph0,16,0.0,0.2,ground,metropolis,29664,-5.09776
n16_graph0,16,0.0,0.2,ground,metropolis,33060,-5.0663
n16_graph0,16,0.0,0.2,ground,metropolis,36846,-5.02421
n16_graph0,16,0.0,0.2,ground,metropolis,41064,-5.01218
n16_graph0,16,0.0,0.2,ground,metropolis,45765,-4.99945
n16_graph0,16,0.0,0.2,ground,metropolis,51005,-4.99465
n16_graph0,16,0.0,0.2,ground,metropolis,56845,-4.99175
n16_graph0,16,0.0,0.2,ground,metropolis,63353,-4.95598
n16_graph0,16,0.0,0.2,ground,metropolis,70606,-5.0117
n16_graph0,16,0.0,0.2,ground,metropolis,78690,-5.02862
n16_graph0,16,0.0,0.2,ground,metropolis,87699,-4.99068
n16_graph0,16,0.0,0.2,ground,metropolis,97740,-4.96855
n16_graph0,16,0.0,0.2,ground,metropolis,108930,-5.00422
n16_graph0,16,0.0,0.2,ground,metropolis,121401,-5.00029
n16_graph0,16,0.0,0.2,ground,metropolis,135300,-5.00458
n16_graph0,16,0.0,0.2,ground,metropolis,150791,-4.99292
n16_graph0,16,0.0,0.2,ground,metropolis,168055,-4.98499
n16_graph0,16,0.0,0.2,ground,metropolis,187295,-4.9956
n16_graph0,16,0.0,0.2,ground,metropolis,208739,-5.00057
n16_graph0,16,0.0,0.2,ground,metropolis,232637,-5.00413
n16_graph0,16,0.0,0.2,ground,metropolis,259272,-4.9783
